,adv_3y,adv_count,adv_end,adv_first,adv_place,adv_points,adv_start,als_3y,als_count,als_end,als_first,als_place,als_points,als_start,division,end_date,id,int_count,int_end,int_first,int_place,int_points,int_start,new_count,new_end,new_points,new_start,nov_count,nov_end,nov_first,nov_place,nov_points,nov_start,region,role
0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,January 1997,1.0,1.0,January 1997,0.0,0.0,4.0,January 1997,1.0,July 1993,4.0,July 1993,1.0,October 1994,0.0,0.0,3.0,October 1994,West Coast,follower
1,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,September 1996,12.0,1.0,September 1996,0.0,0.0,3.0,September 1996,0.0,,0.0,,1.0,October 1996,0.0,0.0,4.0,October 1996,West Coast,leader
2,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,October 1996,16.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,October 1996,0.0,0.0,4.0,October 1996,West Coast,leader
3,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,January 1996,17.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,January 1996,1.0,1.0,10.0,January 1996,West Coast,leader
4,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Intermediate,February 1996,18.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,February 1996,1.0,2.0,20.0,February 1996,West Coast,follower
5,0.0,2.0,February 1998,1.0,1.0,14.0,February 1995,0.0,0.0,,0.0,0.0,0.0,,Novice,February 1998,19.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,July 1994,1.0,1.0,10.0,July 1994,West Coast,follower
6,0.0,1.0,August 1996,0.0,0.0,3.0,August 1996,0.0,0.0,,0.0,0.0,0.0,,Novice,August 1996,21.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,August 1999,0.0,0.0,1.0,August 1999,Midwest,leader
7,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Intermediate,October 1995,22.0,1.0,October 1995,0.0,0.0,3.0,October 1995,0.0,,0.0,,3.0,July 1997,1.0,3.0,26.0,February 1995,West Coast,leader
8,0.0,21.0,October 1999,0.0,3.0,52.0,September 1995,0.0,0.0,,0.0,0.0,0.0,,Intermediate,October 1999,24.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,4.0,May 1996,1.0,3.0,28.0,September 1994,West Coast,follower
9,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,January 1994,25.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,January 1994,0.0,1.0,6.0,January 1994,West Coast,leader
10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,July 1994,26.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,July 1994,1.0,1.0,10.0,July 1994,West Coast,leader
11,0.0,1.0,August 1998,0.0,0.0,1.0,August 1998,0.0,0.0,,0.0,0.0,0.0,,Novice,August 1998,28.0,2.0,August 1997,0.0,0.0,6.0,August 1996,0.0,,0.0,,1.0,February 1996,0.0,0.0,1.0,February 1996,West Coast,follower
12,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Intermediate,September 2002,33.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,4.0,September 2002,1.0,2.0,21.0,July 1996,East Coast,leader
13,0.0,1.0,August 1997,0.0,1.0,6.0,August 1997,0.0,0.0,,0.0,0.0,0.0,,Novice,August 1997,35.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,July 1995,0.0,0.0,3.0,July 1995,Midwest,leader
14,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,January 1996,36.0,0.0,,0.0,0.0,0.0,,1.0,July 1994,6.0,July 1994,1.0,January 1996,1.0,1.0,10.0,January 1996,West Coast,follower
15,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,April 1995,41.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,April 1995,1.0,1.0,10.0,April 1995,West Coast,leader
16,0.0,5.0,August 1999,1.0,2.0,22.0,September 1998,0.0,0.0,,0.0,0.0,0.0,,Novice,August 1999,63.0,2.0,July 1998,0.0,0.0,1.0,June 1998,0.0,,0.0,,1.0,July 1997,0.0,1.0,6.0,July 1997,West Coast,follower
17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Intermediate,February 2005,67.0,4.0,February 2005,0.0,1.0,12.0,May 1997,0.0,,0.0,,3.0,October 1996,1.0,2.0,19.0,September 1994,West Coast,leader
18,0.0,2.0,September 2000,1.0,1.0,11.0,May 1997,0.0,0.0,,0.0,0.0,0.0,,Novice,September 2000,68.0,1.0,May 2000,0.0,1.0,6.0,May 2000,1.0,July 1994,10.0,July 1994,3.0,September 1998,0.0,0.0,12.0,July 1995,Midwest,leader
19,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Newcomer,July 1995,71.0,0.0,,0.0,0.0,0.0,,1.0,July 1995,4.0,July 1995,0.0,,0.0,0.0,0.0,,West Coast,leader
20,0.0,4.0,January 2001,0.0,1.0,14.0,July 1995,0.0,0.0,,0.0,0.0,0.0,,Novice,January 2001,73.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,October 1994,1.0,1.0,14.0,July 1994,West Coast,leader
21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,February 1994,74.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,February 1994,0.0,0.0,2.0,February 1994,West Coast,leader
22,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,July 2010,75.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,July 2010,1.0,1.0,13.0,February 1993,West Coast,follower
23,0.0,4.0,June 2003,0.0,0.0,6.0,October 1996,0.0,0.0,,0.0,0.0,0.0,,Novice,June 2003,76.0,5.0,August 2005,0.0,1.0,17.0,August 1997,0.0,,0.0,,1.0,August 1994,1.0,1.0,10.0,August 1994,Midwest,leader
24,0.0,9.0,September 2004,1.0,3.0,30.0,March 1998,0.0,0.0,,0.0,0.0,0.0,,Novice,September 2004,77.0,4.0,June 2008,0.0,0.0,11.0,August 1997,0.0,,0.0,,1.0,August 1994,1.0,1.0,10.0,August 1994,Midwest,follower
25,0.0,1.0,February 1996,1.0,1.0,10.0,February 1996,0.0,0.0,,0.0,0.0,0.0,,Novice,February 1996,79.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,February 1993,0.0,1.0,6.0,February 1993,West Coast,leader
26,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,November 2001,80.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,5.0,November 2001,0.0,1.0,11.0,February 1996,West Coast,follower
27,0.0,1.0,April 2006,0.0,0.0,2.0,April 2006,0.0,0.0,,0.0,0.0,0.0,,Novice,April 2006,83.0,1.0,April 2005,1.0,1.0,10.0,April 2005,1.0,July 1996,3.0,July 1996,1.0,July 2002,0.0,0.0,1.0,July 2002,West Coast,leader
28,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,May 1998,84.0,1.0,May 1998,1.0,1.0,10.0,May 1998,0.0,,0.0,,1.0,May 1993,1.0,1.0,10.0,May 1993,West Coast,leader
29,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,August 1997,85.0,1.0,August 1997,0.0,0.0,2.0,August 1997,0.0,,0.0,,3.0,January 1999,0.0,0.0,10.0,February 1995,West Coast,follower
30,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,October 1995,86.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,October 1995,0.0,0.0,3.0,October 1995,West Coast,follower
31,0.0,1.0,February 1996,0.0,0.0,1.0,February 1996,0.0,0.0,,0.0,0.0,0.0,,Novice,February 1996,89.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,May 1995,1.0,1.0,10.0,May 1995,West Coast,leader
32,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Novice,June 1995,91.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,June 1995,0.0,1.0,6.0,June 1995,West Coast,follower
